track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,key
A Tale By Quincy,The Weeknd,1,2022,733,0,41924466,0,2,94,F
Every Angel is Terrifying,The Weeknd,1,2022,715,0,37307967,0,1,118,
Lï¿½ï¿½ï¿,Stromae,1,2022,2035,0,108809090,41,122,88,D
Phantom Regret by Jim,The Weeknd,1,2022,768,0,31959571,1,1,108,A
Miserable Man,David Kushner,1,2022,788,0,124407432,13,0,110,A#
LALA,Myke Towers,1,2023,1474,48,133716286,48,126,92,C#
vampire,Olivia Rodrigo,1,2023,1397,113,140003974,94,207,138,F
WHERE SHE GOES,Bad Bunny,1,2023,3133,50,303236322,84,133,144,A
Columbia,Quevedo,1,2023,714,43,58149378,25,89,100,F
fukumean,Gunna,1,2023,1096,83,95217315,60,210,130,C#
